X,Theta3,Theta4,Theta5,Omega3,Omega4,Omega5,Alpha3,Alpha4,Alpha5,Vel.A,Vel.B,VelSli.1,VelSli.2,Accel.A
0,70.1148348861446,289.885165113855,0.0680544435548439,0.0680544435548438,0.0941891953288566,0.0941891953288566,9.40376225750505,9.40376225750505,3.40136081654438,3.40136081654438,4.70757560562869,4.70757560562869,1.93215812597137,1.93215812597137,
10,81.5288553669852,299.875992691689,0.0310008857395926,0.0918992511912865,0.104078839368963,0.0804310129010175,9.89090177881818,8.67105542470769,1.47311303088781,4.98124460568314,4.94566174018334,4.35962800511711,0.782224324195965,2.94839495210448,
20,93.6522227803063,308.211025425561,0.0135256988277728,0.103409726103969,0.105951465427885,0.0665439949421984,9.97969082863627,7.85737878312682,0.637001542253381,6.18559606331261,4.98985285277729,3.98042126847641,0.309884880113344,3.73244882635325,
30,105.461217740442,315,0.0546677880571909,0.106382978723404,0.0988677193784535,0.0543821357027341,9.63811120254198,7.07106781186548,2.66586054538395,7.07106781186547,4.82125876443692,3.61467383149617,1.1871935734069,4.28777516251417,
40,116.075355583949,320.492324557127,0.0840029218407596,0.104433858556248,0.0861186606843005,0.0444159309556704,8.98216722047777,6.36181582749287,4.39552863980827,7.71539366312965,4.50623658278634,3.28137250672218,1.8285270711255,4.66344516208588,
50,125.073754493348,324.950626687952,0.100060642813827,0.1000298596596,0.0719552740265696,0.0364840202862879,8.18413024526353,5.74282108619693,5.7463042147595,8.18657473989775,4.13226302355832,2.98590000927765,2.29817321384711,4.91218929227367,
60,132.455195620187,328.600542516659,0.105963528831937,0.0946178422216761,0.0589887866884134,0.0302327926214888,7.37805412031297,5.21001549799129,6.75013462071186,8.53555730521977,3.7577292456047,2.727326346261,2.65979922585467,5.07539466698924,
