Theta2,Theta3,Theta4,Omega3,Omega4,Alpha3,Alpha4,Slider_Vel.,Slider_Accel,Vel.C_C,Vel.ED,Vel.DA,Accel.C_C,Accel.ED,Accel.DA
0,63.434948822922,16.3513912945314,2.1,2.60996079447979,26.86,20.4222343540465,1282.2049669172,21033.3076453805,1878.29710109982,782.988238343938,1680,10906.4678058481,6458.50305278382,21775.6958097784,
10,65.6262995752614,13.7491513434206,2.48421835410715,2.81452331454226,20.5620758843581,5.92540994666363,1609.56671130579,18906.8934340127,1733.28275234491,844.356994362679,1987.37468328572,12582.4170554161,2967.74615365545,17174.5749259774,
20,68.1377812784058,11.0567585636368,2.77672727383039,2.80944653296866,15.8573618643429,4.9409423665424,1899.98467499742,16678.6414419984,1563.97869245299,842.833959890598,2221.38181906432,13646.4824879981,2793.58156877823,14105.9608544933,
30,70.8933946491309,8.44752300647251,3,2.64733609109896,12.2627715225185,13.1462264253553,2151.11594627725,14285.6111688395,1374.77270848675,794.200827329686,2400,14269.6597198855,4469.30306883318,12168.8274646588,
40,73.8351198729905,6.05182372912673,3.16973490324565,2.36641996337528,9.44391777124359,19.4207246627758,2360.68826815734,11779.0411921629,1169.29022501991,709.925989012584,2535.78792259652,14587.5882523271,6063.59234854676,11031.1326613289,
50,76.917511165965,3.96877544066537,3.29691805607798,1.99483537138361,7.16646980284346,24.2412681423724,2527.65729231136,9246.97302214199,950.685216659244,598.450611415082,2637.53444486238,14709.217352929,7369.71510226267,10415.6186227534,
60,80.1039093610171,2.27393227078142,3.38920003372459,1.55448889586343,5.26233059717308,27.8814944551513,2652.51452562131,6782.76133739203,721.819915600225,466.346668759028,2711.36002697967,14722.1736924304,8395.80374478463,10107.7671139787,
